Province|Municipality|Address|Landline|Fax|Email|||||
Negros Occidental|Municipality of Hinigaran||Tel: (034) 391-7715 / (034) 391-7495|(034) 391-7495/931|judyanne67@yahoo.com|||||
Negros Occidental|Municipality of Hinoba-an||Tel: (034) 473-0505/ (034) 473-0506/ (034) 473-0507||ginanabor@aol.com|||||
Negros Occidental|Municipality of Ilog||Tel: (034) 471-2618 / (034) 471-2742||municipalityilog@yahoo.com|||||
Negros Occidental|Municipality of Isabela||Tel: (034) 387-2245; (034) 387-2327|||||||
Negros Occidental|City of Kabankalan||Tel: (034) 471-2291|(034) 471-2291|kcitygov@yahoo.com|||||
Negros Occidental|La Carlota City||Tel: (034) 460-2380/460-0160||cmolacarlota@yahoo.com|||||
Negros Occidental|Municipality of Castellana||Tel: (034) 485-0515/485-0279|485-0279|mayorsoffice14@yahoo.com|||||
Negros Occidental|Municipality of Manapla||Tel: (034) 491-0125|(034) 491-0125|relynbarba@ymail.com|||||
Negros Occidental|Municipality of Moises Padilla||Tel: (034) 473-0153 / (034) 473-0644||raddubouzet@gmail.com|||||
Negros Occidental|Municipality of Murcia||Tel: (034) 345-2105|345-2243|murcia_negros2010@yahoo.com|||||
Negros Occidental|Municipality of Pontevedra||Tel: (034) 377-7204 / (034) 377-7587||doletin2008@yahoo.com|||||
Negros Occidental|Municipality of Pulupandan||Tel: (034) 461-0239 / (034) 461-0309|461-0239|pulupandan2008@yahoo.com|||||
Negros Occidental|Sagay City||Tel: (034) 488-0101 / 0920-9595767|454-1197|thirdy03_sagaycity@yahoo.com|||||
Negros Occidental|Municipality of Salvador Benedicto||Tel: (034) 473-0188||lgu_officeofthemayor@yahoo.com|||||
Negros Occidental|San Carlos City||Tel: (034) 342-5112 / (034) 342-5113 / (034) 342-5114||peso_sancarloscity@yahoo.com|||||
Negros Occidental|Municipality of San Enrique||Tel: (034) 736-1063 / (034) 377-7575||lgusanenriquenegocc@yahoo.com|||||
Negros Occidental|City of Silay||Tel: (034) 495-0587 / 0920-9254518||silaycitypio@yahoo.com|||||
Negros Occidental|City of Sipalay||Tel: (034) 473-2101||sipalaycity@yahoo.com|||||
Negros Occidental|City of Talisay||Tel: (034) 495-1959||talisaycitynegocc@yahoo.com|||||
Negros Occidental|Municipality of Toboso||Tel: (034) 725-9007 / 725-9005|||||||
Negros Occidental|Municipality of Valladolid||Tel: (034) 461-1220|||||||
Negros Occidental|City of Victorias||Tel: (034) 399-3459|||||||
|Provincial Government of Bohol|Provincial Capitol, 6300 Tagbilaran City, Bohol|Tel: (038) 411-3063 / (038) 411-3300/ (038) 411-4821/ (038) 411-3560/ 411-3573/ 412-0835|(038) 412-3063; 501-9847|govovemc2010@yahoo.com|||||
Bohol|Municipality of Alburquerque||Tel: (038) 539-9080 / (038) 539-9221 / 0917-3038158|||||||
Bohol|Municipality of Alicia||Tel: (038) 521-2071 / (038) 521-2085 / 0929-4364046|||||||
Bohol|Municipality of Anda||Tel: (038) 510-8094|||||||
Bohol|Municipality of Antequera||Tel: (038) 506-5007 / 0917-6335550|||||||
Bohol|Municipality of Baclayon||Tel: (038) 540-9280 / 0917-3043930|||||||
Bohol|Municipality of Balilihan||Tel: (038) 507-3106 / (038) 411-2338 / 0917-3042738|||||||
Bohol|Municipality of Batuan||Tel: (038) 533-9000 / (038) 533-9488 / 0917-6333151|||||||
Bohol|Municipality of Bien Unido||Tel: (038) 517-2391 / (038) 517-2288 / 0917-3030000|||||||
Bohol|Municipality of Bilar||Tel: (038) 535-9076 / (038) 535-9144 / 0919-999768|||||||
Bohol|Municipality of Buenavista||Tel: (038) 513-9175 / (038) 513-9460 / 0908-8961792|||||||
Bohol|Municipality of Calape||Tel: (038) 507-9085 / (038) 507-9237 / 0917-3010033|(038) 5079180/ 5079085/ 09173044568||||||
Bohol|Municipality of Candijay||Tel: (038) 526-0013 / 0920-9256033|||||||
Bohol|Municipality of Carmen||Tel: (038) 525-9000 / 0920-9669848|||||||
Bohol|Municipality of Catigbian||Tel: (038) 416-2326/ 2328; 0917-6279058||lgu.catigbian@gmail.com|||||
Bohol|Municipality of Clarin||Tel: (038) 509-9179 / (038) 509-9178 / 0917-3041060|||||||
Bohol|Municipality of Corella||Tel: (038) 416-3865 / 0920-4328888|||||||
Bohol|Municipality of Cortes||Tel: (038) 503-9201 / 503-9202|Fax: (038) 503-9201||||||
Bohol|Municipality of Dagohoy||Tel: (038) 524-0036 / 0939-9167267|||||||
Bohol|Municipality of Danao||Tel: (038) 507-3106 / 0917-5874488|||||||
Bohol|Municipality of Dauis||Tel: (038) 411-4745 / (038) 502-3040 / 0917-5019816|||||||
Bohol|Municipality of Dimiao||Tel : (038) 510-8470 / 0928-3380023|||||||
Bohol|Municipality of Duero||Tel: (038) 530-0112 / 0947-4284441|||||||
Bohol|Municipality of Garcia-Hernandez||Tel: (038) 532-5035 / (038) 532-1105|||||||
Bohol|Municipality of Getafe||Tel: (038) 514-9006 / 0917-9801987 / 0942-3743007|||||||
Bohol|Municipality of Guindulman||Tel: (038) 529-1181 / 0939-9248922|||||||
Bohol|Municipality of Inabanga||Tel: (038) 512-9088/ (038) 512-9191 / 0918-8881175|||||||
Bohol|Municipality of Jagna||Tel: (038) 531-8001 / 0920-9276242|||||||
Bohol|Municipality of Lila||Tel: (038) 536-0143 / 0928-5433542|||||||
Bohol|Municipality of Loay||Tel: (038) 538-9080 / 0918-8880700|||||||
Bohol|Municipality of Loboc||Tel: (038) 537-9488 / 0917-3167388|||||||
Bohol|Municipality of Loon||Tel: (038) 505-9131 / (038) 505-9132 / 0922-8692869|||||||
Bohol|Municipality of Mabini||Tel: (038) 522-3069 / 0919-6461816|||||||
Bohol|Municipality of Maribojoc||Tel: (038) 504-9979 / (038) 504-9555 / 0928-5078279|||||||
Bohol|Municipality of Panglao||Tel: (038) 502-8300/ (038) 502-8331 / 0949-6321354|||||||
Bohol|Municipality of Pilar||Tel: (038) 523-2026|||||||
Bohol|Municipality of Pres. Carlos P. Garcia||Tel: (038) 519-2010 / 0917-3065888|||||||
Bohol|Municipality of Sagbayan||Tel: (038) 511-9028 / 0917-3042798|||||||
Bohol|Municipality of San Isidro||Tel: 0917-3260308|||||||
Bohol|Municipality of San Miguel||Tel: (038) 520-3016 / 0917-6334722|||||||
Bohol|Municipality of Sevilla||Tel: (038) 416-0109 / (038) 416-0831|||||||
Bohol|Municipality of Sierra Bullones||Tel: (038) 510-1981 / 0920-9290332||lgu_sbullonesbohol@yahoo.com|||||
Bohol|Municipality of Sikatuna||Tel: (038) 541-0020 / 0919-8683711|||||||
Bohol|Tagbilaran City (Capital)||Tel: (038) 412-3715 / (038) 412-4995|501-9350|cgotagbilaran@yahoo.com|||||
Bohol|Municipality of Talibon||Tel: (038) 515-5287 / 0917-3045993|||||||
Bohol|Municipality of Trinidad||Tel: (038) 516-1023 / 0918-9062107 / Telefax: (038) 516-1112||trinidad@trinidad-bohol.gov.ph|||||
Bohol|Municipality of Tubigon||Tel: (038) 508-8813 / 0922-8495296|||||||
Bohol|Municipality of Ubay||Tel: (038) 518-8099 / (038) 517-8100 / 0906-1054459||info@tagbilaran.gov.ph|||||
Bohol|Municipality of Valencia||Tel: (038) 532-1269 / (038) 532-0163 / 0908-8107344|||||||
|Provincial Government of Cebu|Provincial Capitol, 6000 Cebu City, Cebu|Tel: (032) 238-3324|(032) 254-4164/ 253-1970/ 253-6070/ 255-0642|dmhigida@gmail.com|||||
Cebu|Municipality of Alcantara||Tel: (032) 473-9199 / (032) 473-5663|||||||
Cebu|Municipality of Alcoy||Tel: (032) 483-9184 / Telefax: (038) 483-9183 ||alcoycebu@gmail.com|||||
Cebu|Municipality of Alegria||Tel: (032) 476-7092 / (032) 476-7093|||||||
Cebu|Municipality of Aloguinsan||Tel: (032) 469-9034 / (032)469-5500|||||||
Cebu|Municipality of Argao||Tel: (032) 367-7542||gpjplg@yahoo.com|||||
Cebu|Municipality of Asturias||Tel: (032) 464-9106 / (032) 464-9042|464-9107||||||
Cebu|Municipality of Badian||Tel: (032) 475-9118/ Telefax: (032) 475-9058||anecitabruce@yahoo.com|||||
Cebu|Municipality of Balamban||Tel: (032) 465-3018 / (032) 333-2190 loc. 115|||||||
Cebu|Municipality of Bantayan||Tel: (032) 460-9028 / (032) 352-5891||melitanegapatan@yahoo.com|||||
Cebu|Municipality of Barili||Tel: (032) 470-9006||wilijado@yahoo.com|||||
Cebu|City of Bogo||Tel: (035) 434-9270 / (035) 434-8167|||||||
Cebu|Municipality of Boljoon||Telefax: (032) 482-9292 / Tel: (032) 482-9119||atezensescab@yahoo.com|||||
Cebu|Municipality of Borbon||Tel:  482-9119|||||||
Cebu|City of Carcar||Tel: (032) 487-8674|||||||
Cebu|Municipality of Carmen||Tel: (032) 429-9215 / (032) 266-8740|||||||
Cebu|Municipality of Catmon||Tel: (032) 430-9016 loc. 805|||||||
Cebu|Cebu City (Capital)||Tel: (032) 412-0000 / (032) 253-2045|||||||
Cebu|Municipality of Compostela||Tel: (032) 425-8699; 425-8698|||||||
Cebu|Municipality of Consolacion||Tel: (032) 239-2908 / (032) 236-8186|(032) 239-2908||||||
Cebu|Municipality of Cordova||Tel: (032) 238-5096|Fax: (032) 236-3816|addyrosesitoy@yahoo.com|||||
Cebu|Municipality of Daanbantayan||Telefax: (032) 437-8670 / Tel: (032) 437-8690||mhira_5h@yahoo.com.sg|||||
Cebu|Municipality of Dalaguate||Tel: (032) 484-8399 / (032) 484-8718 loc. 204|||||||
Cebu|Danao City||Tel: (032) 200-4372 / (032) 200-4420|||||||
Cebu|Municipality of Dumanjug||Tel: (032) 417-9248|||||||
Cebu|Municipality of Ginatilan||Tel: (032) 478-9100|||||||
Cebu|Lapu-Lapu City||Tel: (032) 340-0018 / (032) 341-0149/ 340-0656|(032) 340-0656||||||
Cebu|Municipality of Liloan||Tel: (032) 564-3131 / (032) 564-2085||moliloan@gmail.com|||||
Cebu|Municipality of Madridejos||Tel: (032) 439-7025|||||||
Cebu|Municipality of Malabuyoc||Tel: (032) 477-8911 / (032) 477-8035|||||||
Cebu|Mandaue City||Tel: (032) 268-3113 / (032) 346-5556|||||||
Cebu|Municipality of Medellin||Tel: (032) 436-2031|||||||
Cebu|Municipality of Minglanilla||Tel: (032) 272-5417 / (032) 272-8038/ 272-8038|(032) 272-5415||||||
Cebu|Municipality of Moalboal||Tel: (032) 474-8204 / (032) 232-4743|(032) 474-8204|moalboalmunicipality@yahoo.com|||||
Cebu|City of Naga||Tel: (032) 406-5736|||||||
Cebu|Municipality of Oslob||Tel: (032) 481-9185|||||||
Cebu|Municipality of Pilar||Tel: (032) 400-4023 / (032) 253-6711|||||||
Cebu|Municipality of Pinamungajan||Tel: (032) 468-5561/ (032) 468-5594|||||||
Cebu|Municipality of Poro||Tel: (032) 497-5654|||||||
Cebu|Municipality of Ronda||Tel: (032) 472-9068|||||||
Cebu|Municipality of Samboan||Tel: (032) 479-0081 / (032) 479-0080|||||||
Cebu|Municipality of San Fernando||Tel: (032) 488-9679 / (032) 488-9678|||||||
Cebu|Municipality of San Francisco||Tel: (032) 497-0334|||||||
Cebu|Municipality of San Remigio||Tel:  (032) 435-9208 / (032) 435-9309|||||||
Cebu|Municipality of Santa Fe||Tel: (032) 438-9220|||||||
Cebu|Municipality of Santander||Tel: 480-9999 / Telefax: (032) 480-9006|||||||
Cebu|Municipality of Sibonga||Tel: (032) 486-9416 / (032) 486-9331/ 486-9417|||||||
Cebu|Municipality of Sogod||Tel: (032) 431-9159|||||||
Cebu|Municipality of Tabogon||Tel: (032) 433-9085 / (032) 433-9035|||||||
Cebu|Municipality of Tabuelan||Tel: (032) 461-9030 / (032) 461-9027|||||||
Cebu|City of Talisay||Tel: (032) 272-8977 / (032) 272-6323/273-1425/272-0669/ 491-3394|(032) 273-1425|officeofthemayortalisaycity@gmail.com|||||
Cebu|Toledo City||Tel: (032) 322-6258 / (032) 467-8372|||||||
Cebu|Municipality of Tuburan||Tel: (032) 463-9218|||||||
Cebu|Municipality of Tudela||Tel: 0915-7712574|||||||
|Provincial Government of Negros Oriental||Tel: (035) 225-9983|Fax: (035) 225-4835/ 422-8887|governor@megor.gov.ph|||||
Negros Oriental|Municipality of Amlan||Tel: (035) 417-0694 / 0917-3141798|||||||
Negros Oriental|Municipality of Ayungon||Tel: (035) 406-7053 / (032) 406-6077|||||||
Negros Oriental|Municipality of Bacong||Tel: (032) 424-8101 / (032) 424-0303|||||||
Negros Oriental|Bais City||Tel: (035) 402-8181||cmobais@yahoo.com.ph|||||
Negros Oriental|Municipality of Basay||Tel: (035) 922-5692 / 0926-7311625|||||||
Negros Oriental|City of Bayawan|City Hall, Quezon Park, City of Dumaguete|Tel: (35) 531-0019 / 531-0650/ 531-0020|430-0022 (035) 531-0728||||||
Negros Oriental|Municipality of Bindoy||Telefax: (035) 405-3014 / Tel: 0917-3140141|||||||
Negros Oriental|Canlaon City||Tel: (035) 414-0004 / 0918-3261266|||||||
Negros Oriental|Municipality of Dauin||Tel: (035) 414-0007||marifetenido@yahoo.com|||||
Negros Oriental|Dumaguete City (Capital)||Tel: (035) 225-0640 / (035) 422-6336||msmira624@yahoo.com|||||
Negros Oriental|City of Guihulungan||Tel: (035) 410-3098 / 0920-6286192||jrv62304@yahoo.com|||||
Negros Oriental|Municipality of Jimalalud||Tel: (035) 408-5048 / 0928-3687996|||||||
Negros Oriental|Municipality of La Libertad||Tel: (035) 409-4020 / (035) 409-4012|||||||
Negros Oriental|Municipality of Mabinay||Tel: 0916-6792344||Renbalz@eudoramail.com|||||
Negros Oriental|Municipality of Manjuyod||Tel: (035) 404-1136 / (035) 404-1250|||||||
Negros Oriental|Municipality of Pamplona||Tel: (035) 416-0197 / (035) 416-0182|||||||
Negros Oriental|Municipality of San Jose||Tel:  (035) 417-0367 / (035) 417-0703||janetbacoy@yahoo.com|||||
Negros Oriental|Municipality of Siaton||Tel: (035) 427-0090 / (035) 427-0093|||||||
Negros Oriental|Municipality of Sibulan||Tel: (035) 226-6027 / (035) 226-6384/ 419-8581|(035) 226-6384|sibulan_negrosoriental@yahoo.com|||||
Negros Oriental|Municipality of Sta. Catalina||Tel: (035) 531-0594 / (035) 531-0544/ 09175017006||liliacasilang@yahaoo.com|||||
Negros Oriental|City of Tanjay||Tel: (035) 415-9385 /  415-9375||lanieduran2004@yahoo.com|||||
Negros Oriental|Municipality of Tayasan||Tel: (035) 407-6043 / (035) 407-6044|||||||
Negros Oriental|Municipality of Valencia||Tel: (035) 423-4078 / 0920-9082481||jcuertel@yahoo.com|||||
Negros Oriental|Municipality of Vallehermoso||Tel: (034) 122-6953|||||||
Negros Oriental|Municipality of Zanboanguita||Tel: (035) 426-1175 / 0927-3029713|||||||
|Provincial Government of Siquijor|Provincial Capitol, 6225 Siquijor, Siquijor|Tel: (035) 482-0010 / (035) 344-2015|(035) 344-2251|lomedel@yahoo.com|||||
Siquijor|Municipality of Enrique Villanueva||Tel: (035) 495-1100 / |||||||
Siquijor|Municipality of Larena||Tel: (035) 377-2389 / 377-2540|Telefax: (035) 377-2003||||||
Siquijor|Municipality of Lazi||Tel: (035) 481-9527 / (035) 481-9662|||||||
Siquijor|Municipality of Maria||Tel: (035) 482-0166|||||||
Siquijor|Municipality of San Juan||Tel: (035) 481-9527 / (035) 481-5041|||||||
Siquijor|Siquijor City (Capital)||Tel: (035) 344-2074 / (035) 344-209|||||||
|Provincial Government of Biliran|Provincial Capitol, 6543 Naval, Biliran|Tel: (053) 500-9021 / (035) 500-9344 / 0917-7150888|"(053)500-9572/9021 | (053)500-9571 | (0919)323-3192 | (0935)169-7285"||||||
Biliran|Municipality of Almeria||Tel: 0916-4352733|9274603409||||||
Biliran|Municipality of BIliran||Tel: 0371-5538761|(053) 501-4015/ (053) 501-4005/ 09167252482/ 09295175558||||||
Biliran|Municipality of Cabucgayan||Tel: (053) 502-9062 / 0919-2068291|"(0920) 779-2290 | (0920) 207-9909"||||||
Biliran|Municipality of Caibiran||Tel: 0927-8793830|9265851984||||||
Biliran|Municipality of Culaba||Tel: 0908-1379551|9266895329||||||
Biliran|Municipality of Kawayan||Tel: (053) 506-0057 / 0920-9073404|"(0927) 458-5385 | (0918) 688-0955 | (0917) 574-8657 | (0906) 838-8869"||||||
Biliran|Municipality of Maripipi||Tel: (053) 500-9640 / 0915-2926726|09189293889/ 09265222519||||||
Biliran|Naval City (Capital)||Telefax: (053) 500-9363|"(0916)356-3205 | (053)500-9410"||||||
|Provincial Government of Eastern Samar|Provincial Capitol, 6800 Borongan, Eastern Samar|Tel: (055) 261-2410 / 0917-6210805|Fax: 261-2414||||||
Eastern Samar|Municipality of Arteche||Tel: (055) 330-3322 / 0917-5202755|||||||
Eastern Samar|Municipality of Balangiga||Tel: (055) 578-3018 / 0927-7007650|||||||
Eastern Samar|Municipality of Balangkayan||Tel: (055) 527-2015 / 0915-8239888|||||||
Eastern Samar|City of Borongan (Capital)||Tel: (055) 560-9107 / 0915-6352362|||||||
Eastern Samar|Municipality of Can-Avid||Tel: (055) 564-1004 / 0939-9043389|||||||
Eastern Samar|Municipality of Dolores||Tel: (055) 565-0013 / 0917-7050338|||||||
Eastern Samar|Municipality of Gen. MacArthur||Tel: (055) 575-2035 / 0917-3224309|||||||
Eastern Samar|Municipality of Giporlos||Tel: (055) 577-0012 / 0917-5222260|||||||
Eastern Samar|Municipality of Guiuan||Tel: (055) 271-4444 / 0917-3250065|||||||
Eastern Samar|Municipality of Hernani||Tel: (055) 574-0035 / (055) 574-0040 / 0947-5179244|||||||
Eastern Samar|Municipality of Jipapad||Tel: (055) 330-1323 / 0999-9916730|||||||
Eastern Samar|Municipality of Lawa-an||Tel: (055) 579-5005 / 0999-1890622|||||||
Eastern Samar|Municipality of llorente||Tel: (055) 573-1040 / 0939-4499330|||||||
Eastern Samar|Municipality of Maslog||Tel: 0919-3788679|||||||
Eastern Samar|Municipality of Maydolong||Tel: (055) 570-1018 / 0915-7150851|||||||
Eastern Samar|Municipality of Mercedes||Tel: (055) 582-0025 / 0917-7029412|||||||
Eastern Samar|Municipality of Oras||Tel: (055) 565-0027 / 0917-8572774|||||||
Eastern Samar|Municipality of Quinapondan||Tel: (055) 576-1020 / 0929-6203873|||||||
Eastern Samar|Municipality of Salcedo||Tel: 0917-5772700|||||||
Eastern Samar|Municipality of San Julian||Tel: (055) 561-1002 / 0929-3662796|||||||
Eastern Samar|Municipality of San Policarpio||Tel: 0917-9711860 / 0917-3060620|||||||
Eastern Samar|Municipality of Sulat||Tel: (055) 562-0039/ (055) 562-0050 / 0917-3044002|||||||
Eastern Samar|Municipality of Taft||Tel: (055) 562-0021 / 0918-9027929|||||||
|Provincial Government of Leyte|Provincial Capitol, 6500 Tacloban City, Leyte|Tel: (053) 321-4927 325-7125|Fax: (053) 321-4927 325-7125||||||
Leyte|Municipality of Abuyog||Tel: (053)|Fax: (053) 334-2195||||||
Leyte|Municipality of Alang-Alang||Tel: (053) 331-5011 / Telefax:  331-9015|||||||
Leyte|Municipality of Alegria|||||||||
Leyte|Municipality of Albuera||Telefax: (053) 562-9284|||||||
Leyte|Municipality of Babatngon||Tel: 0917-3289878|||||||
Leyte|Municipality of Barugo||Tel: (053) 331-4004 / (053) 331-4019|||||||
Leyte|Municipality of Bato||Tel: (053) 336-2293|Fax: (053) 336-2294||||||
Leyte|City of Baybay||Telefax: (053) 335-2045|||||||
Leyte|Municipality of Burauen||Tel: (053) 332-2588|Fax: (035) 332-9999||||||
Leyte|Municipality of Calubian||Telefax: (053) 549-2260||calubianlgu@yahoo.com|||||
Leyte|Municipality of Capoocan||Tel: (053) 548-1300|Fax: (053) 331-6001||||||
Leyte|Municipality of Carigara||Telefax: (053) 331-2004|||||||
Leyte|Municipality of Dagami||Tel: (053) 332-6124|||||||
Leyte|Municipality of Dulag||Telefax: (053) 322-2045||lgu_dulagleyte@yahoo.com|||||
Leyte|Municipality of Hilongos||Tel: (053) 336-2011|||||||
Leyte|Municipality of Hindang||Tel: (053) 526-1927|||||||
Leyte|Municipality of Inopacan||Telefax: (053) 565-0200|||||||
Leyte|Municipality of Isabel||Tel: (053) 337-2055|||||||
Leyte|Municipality of Jaro||Telefax: (053) 541-9008|||||||
Leyte|Municipality of Javier||Telefax: (053) 322-7201|||||||
Leyte|Municipality of Julita||Telefax: (053) 322-7201|||||||
Leyte|Municipality of Kananga||Tel: (053) 553-9635|Fax: (053) 553-9171||||||
Leyte|Municipality of La Paz||Telefax: (053) 322-7241||lapazlgu@yahoo.com|||||
Leyte|Municipality of Leyte||Tel: (053) 548-0013|Fax: (053) 553-0014||||||
Leyte|Municipality of MacArthur||Tel.: (053) 332-6345 / Telefax: (053) 535-0146|||||||
Leyte|Municipality of Mahaplag||Tel: 0917-3218938|||||||
Leyte|Municipality of Matag-ob||Tel: (053) 554-2074||infomatag-ob@yahoo.com’|||||
Leyte|Municipality of Matalom||Telefax: (053) 589-9077|||||||
Leyte|Municipality of Mayorga||Tel: (053) 322-7239|||||||
Leyte|Municipality of Merida||Tel: (053) 557-9588||mayortony.martin@gmail.com|||||
Leyte|Ormoc City||Tel: (053) 255-3242 / 0908-8747688|Fax: 255-7395||||||
Leyte|Municipality of Palo||Tel: (053) 323-3060 / Telefax: (053) 323-9143 |||||||
Leyte|Municipality of Palompon||Tel: (053) 555-9044|Fax: (035) 338-2299||||||
Leyte|Municipality of Pastrana||Telefax: (053) 332-7446|||||||
Leyte|Municipality of San Isidro||Tel: (053) 550-0012|||||||
Leyte|Municipality of San Miguel||Tel: (053) 331-8005|Fax: (053) 331-8004||||||
Leyte|Municipality of Santa Fe||Tel: (053) 332-7645|||||||
Leyte|Municipality of Tabango||Tel: (053) 551-9566 / (053) 551-9020 / 09198958339|||||||
Leyte|Municipality of Tabontabon||Tel: (053) 332-7843 / 7834|||||||
Leyte|Tacloban City (Capital)||Tel: (053) 325-2043 / 325-2040|Fax: 325-4403||||||
Leyte|Municipality of Tanauan||Telefax: (053) 332-4709||tecsonpel@gmail.com|||||
Leyte|Municipality of Tolosa||Telefax: (053) 322-6001|||||||
Leyte|Municipality of Tunga||Tel: (053) 331-58538|||||||
Leyte|Municipality of Villaba||Tel: (053) 552-9161  / 552-9185|||||||
|Provincial Government of Northern Samar|Provincial Capitol, 6400 Catarman, Northern Samar|Tel: (055) 251-8100/ 251-8205||govjun19@gmail.com|||||
Northern Samar|Municipality of Allen||Tel: (055) 300-2005 / 0919-6914378|||||||
Northern Samar|Municipality of Biri||Tel: 0919-3596721|||||||
Northern Samar|Municipality of Bobon||Tel: 0908-2178784 / 0916-7333333|||||||
Northern Samar|Municipality of Capul||Tel: (055) 354-1306 / 0999-9925862 / 0918-94559877|||||||
Northern Samar|Municipality of Catarman (Capital)||Tel: (055) 251-8428 / (055) 500-9135|||||||
Northern Samar|Municipality of Catubig||Tel: (055) 354-1317|||||||
Northern Samar|Municipality of Gamay||Tel: 0917-7071767 / 0917-3212201|||||||
Northern Samar|Municipality of Laoang||Tel: (055) 252-9001 / 0917-7050876|||||||
Northern Samar|Municipality of Lapinig||Tel: 0917-8714889 / 0915-5296589|||||||
Northern Samar|Municipality of Las Navas||Tel: (055) 354-1316 / 0927-6240801|||||||
Northern Samar|Municipality of Lavezares||Tel: 0929-8603097|||||||
Northern Samar|Municipality of Lope de Vega||Tel: 0908-5028228|||||||
Northern Samar|Municipality of Mapanas||Tel: 0915-3852662|||||||
Northern Samar|Municipality of Mondragon||Tel: 09121-4930267|||||||
Northern Samar|Municipality of Palapag||Tel: 0908-7374906 / 0917-3508326|||||||
Northern Samar|Municipality of Pambujan||Tel: 0930-9197140||linobal@gmail.com|||||
Northern Samar|Municipality of Rosario||Tel: (055) 354-1302 / 0916-3983473 / 0920-2965238|||||||
Northern Samar|Municipality of San Antonio||Tel: 0906-9582967|||||||
Northern Samar|Municipality of San Isidro||Tel: 0939-8295375 / 0915-4948303|||||||
Northern Samar|Municipality of San Jose||Tel: (055) 354-1302 / 0917-3121458|||||||
Northern Samar|Municipality of San Roque||Tel: 0917-7200041|||||||
Northern Samar|Municipality of San Vicente|||||||||
Northern Samar|Municipality of Silvino Lobos||Tel: (055) 354-1318; 0919-5137229|||||||
Northern Samar|Municipality of Victoria||Tel: (055) 354-1309; 0915-3577701|||||||
|Provincial Government of Samar|Provincial Capitol, 6700 Catbalogan, Samar|Tel: (055) 251-6117 / (055) 251-2982 / 0927-4064278|||||||
Samar|Municipality of Almagro||Tel: 0917-3160847|||||||
Samar|Municipality of Basey||Tel: (055) 276-2086||ejep70@yahoo.com|||||
Samar|Calbayog City||Tel: (055) 209-1200 / 0917-7000669/ 209-3265/ 91725|||||||
Samar|Municipality of Calbiga||Tel: 0919-9622050|||||||
Samar|Catbalogan City (Capital)||Tel: (055) 251-3106 / 0917-8805912|251-3106|catbalogancity_2007@yahoo.com|||||
Samar|Municipality of Daram||Tel: 0918-8030513||mayorlu@yahoo.com|||||
Samar|Municipality of Gandara||Tel: 0917-3051219||eufemio.oliva@gmail.com|||||
Samar|Municipality of Hinabangan||Tel: 0947-2090056|||||||
Samar|Municipality of Jiabong||Tel: 0922-8681218|||||||
Samar|Municipality of Marabut||Tel: 0917-3105112 / 0908-8696016|||||||
Samar|Municipality of Matuguinao||Tel: 0918-9592729|||||||
Samar|Municipality of Motiong||Tel: 0919-8272527||francisco.langi@yahoo.com|||||
Samar|Municipality of Pagsanghan||Tel: 0917-7226298||pattytan_1973@yahoo.com|||||
Samar|Municipality of Paranas||Tel: 0928-6307520||felixbabalconjr@yahoo.com|||||
Samar|Municipality of Pinabacdao||Tel: 0917-7240852|||||||
Samar|Municipality of San Jorge||Tel: 0915-2821874|||||||
Samar|Municipality of San Jose de Buan||Tel: 0916-3230795 / 0908-8171996|||||||
Samar|Municipality of Santa RIta||Tel: (055) 276-5017; 0917-3272171|||||||
Samar|Municipality of Sto. Niño||Tel: 0917-7910151|||||||
Samar|Municipality of Sta. Margarita||Tel: (055) 209-8141; 0915-3229222|||||||
Samar|Municipality of Tagapul-an|||||||||
Samar|Municipality of Talalora||Tel: 0935-9111135||costelonilo@yahoo.com|||||
Samar|Municipality of Tarangnan||Tel: 09128-664948|||||||
Samar|Municipality of Villareal||Tel: 0906-5787731; 0927-8228782|||||||
Samar|Municipality of Zumarraga||Telefax: (055) 251-2435 / Tel: 0918-8818999|||||||
|Provincial Government of Southern Leyte|Provincial Capitol, 6600 Maasin, Southern Leyte|Tel: (053) 570-9016/ 9018; 0917-5309954|(053) 381-4326; 527-9018|rgmercado298@yahoo.com|||||
Southern Leyte|Municipality of Anahawan||Tel: (053) 581-0116 / 0917-7209845|||||||
Southern Leyte|Municipality of Bontoc||Tel: (053) 382-3060 / 0926-7533676||ruby_gf2003@yahoo.com|||||
Southern Leyte|Municipality of Hinunangan||Tel: (053) 382-1511 /  0906-2124940|||||||
Southern Leyte|Municipality of Hinundayan||Tel: 0908-5324568|||||||
Southern Leyte|Municipality of Libagon||Tel: (053) 578-1022; 0917-5324568|||||||
Southern Leyte|Municipality of Liloan||Tel: (053) 585-0188 / 0928-5056406|||||||
Southern Leyte|Municipality of Limasawa||Tel: (053) 573-0107; 0917-6210670|||||||
Southern Leyte|City of Maasin (Capital)||Tel: (053) 570-8285; 0999-3394638|||||||
Southern Leyte|Municipality of Macrohon||Tel: (053) 572-1204; 0928-5555480|||||||
Southern Leyte|Municipality of Malitbog||Tel: (053) 574-1202 / (053) 574-1239 / 0917-7209566|||||||
Southern Leyte|Municipality of Padre Burgos||Tel: (053) 573-0114 / 0917-5980420|||||||
Southern Leyte|Municipality of Pinutyan||Tel: (053) 587-2015 / (053) 587-2041 / 0917-3061740|||||||
Southern Leyte|Municipality of Saint Bernard||Tel: 0918-9290637 / 0917-6281677|||||||
